Accuracy,Recall,Precision,Train time
0.35,0.0,0.0,0.7381298542022705
0.9,0.9,0.9,0.7268052101135254
0.55,0.6,0.5454545454545454,0.7181367874145508
0.9,1.0,0.8333333333333334,0.7244200706481934
0.55,0.8,0.5333333333333333,0.7210500240325928
0.55,1.0,0.5263157894736842,0.7271478176116943
0.55,1.0,0.5263157894736842,0.722959041595459
0.8,0.9,0.75,0.7254362106323242
0.85,0.7,1.0,0.7246160507202148
0.65,0.8,0.6153846153846154,0.7258098125457764
0.5,0.0,0.0,0.6872460842132568
0.9,0.8,1.0,0.7034049034118652
0.55,0.1,1.0,0.6871738433837891
0.85,0.7,1.0,0.6991560459136963
0.75,0.6,0.8571428571428571,0.6834390163421631
0.8,0.6,1.0,0.6868648529052734
0.55,0.1,1.0,0.6871531009674072
0.6,0.2,1.0,0.6930789947509766
0.55,0.1,1.0,0.6979360580444336
0.9,1.0,0.8333333333333334,0.6812460422515869
0.35,0.0,0.0,0.7122259140014648
0.95,0.9,1.0,0.7213830947875977
0.5,0.1,0.5,0.715522050857544
0.95,0.9,1.0,0.7166459560394287
0.7,0.8,0.6666666666666666,0.7299439907073975
0.65,0.9,0.6,0.7232601642608643
0.5,1.0,0.5,0.8467822074890137
0.8,0.8,0.8,0.7148230075836182
0.7,0.4,1.0,0.8737201690673828
0.9,1.0,0.8333333333333334,0.7503089904785156
0.4,0.0,0.0,0.5191471576690674
0.9,0.9,0.9,0.5356321334838867
0.65,0.5,0.7142857142857143,0.593329906463623
0.85,0.8,0.8888888888888888,0.6061520576477051
0.65,0.6,0.6666666666666666,0.5359070301055908
0.85,0.7,1.0,0.6297571659088135
0.65,0.4,0.8,0.535377025604248
0.7,0.4,1.0,0.5478768348693848
0.7,0.4,1.0,0.5364577770233154
0.6,0.3,0.75,0.5547831058502197
0.3,0.0,0.0,0.5924479961395264
0.9,0.9,0.9,0.5885260105133057
0.55,0.6,0.5454545454545454,0.5879979133605957
0.9,1.0,0.8333333333333334,0.5979158878326416
0.5,0.8,0.5,0.5920910835266113
0.5,0.9,0.5,0.5921831130981445
0.55,1.0,0.5263157894736842,0.5901520252227783
0.8,0.9,0.75,0.5826408863067627
0.85,0.7,1.0,0.5917081832885742
0.7,0.8,0.6666666666666666,0.5878148078918457
0.4,0.0,0.0,0.5457110404968262
0.9,0.9,0.9,0.5313959121704102
0.65,0.5,0.7142857142857143,0.5264759063720703
0.85,0.8,0.8888888888888888,0.5516338348388672
0.65,0.6,0.6666666666666666,0.539071798324585
0.85,0.7,1.0,0.5584468841552734
0.65,0.4,0.8,0.546630859375
0.7,0.4,1.0,0.5647170543670654
0.7,0.4,1.0,0.5342180728912354
0.6,0.3,0.75,0.5259599685668945
0.3,0.0,0.0,0.5920228958129883
0.9,0.9,0.9,0.5870211124420166
0.55,0.6,0.5454545454545454,0.595329999923706
0.9,1.0,0.8333333333333334,0.5848729610443115
0.5,0.8,0.5,0.5977239608764648
0.5,0.9,0.5,0.5856561660766602
0.55,1.0,0.5263157894736842,0.5853629112243652
0.8,0.9,0.75,0.5855240821838379
0.85,0.7,1.0,0.5850300788879395
0.7,0.8,0.6666666666666666,0.5864379405975342
0.4,0.0,0.0,0.650947093963623
0.9,0.9,0.9,0.7238409519195557
0.7,0.6,0.75,0.669640064239502
0.9,0.9,0.9,0.7013509273529053
0.7,0.6,0.75,0.6651289463043213
0.85,0.7,1.0,0.6772279739379883
0.65,0.4,0.8,0.6671290397644043
0.7,0.4,1.0,0.676102876663208
0.7,0.4,1.0,0.6709561347961426
0.7,0.6,0.75,0.6671350002288818
